;temperature;gas;humidity;barometer
12099;28,63;93802;40;1003,11
12100;28,63;93489;40;1003,13
12101;28,63;93178;40;1003,11
12102;28,64;92870;40;1003,11
12103;28,63;93282;40;1003,11
12104;28,63;93593;40;1003,11
12105;28,63;93075;40;1003,11
12106;28,63;93178;40;1003,11
12107;28,63;93178;40;1003,11
12108;28,63;93178;40;1003,11
12109;28,63;94541;40;1003,13
12110;28,63;93282;40;1003,13
12111;28,63;93075;40;1003,07
12112;28,63;93593;40;1003,11
12113;28,63;93385;40;1003,13
12114;28,63;93593;40;1003,11
12115;28,63;93489;40;1003,11
12116;28,62;93802;40;1003,07
12117;28,63;93075;40;1003,11
12118;28,63;93489;40;1003,13
12119;28,63;93282;40;1003,11
12120;28,63;93802;40;1003,09
12121;28,63;93802;40;1003,11
12122;28,63;94012;40;1003,11
12123;28,63;93802;40;1003,09
12124;28,62;93907;40;1003,09
12125;28,63;93802;40;1003,13
12126;28,63;93698;40;1003,11
12127;28,63;93593;40;1003,13
12128;28,62;93385;40;1003,09
12129;28,63;93907;40;1003,11
12130;28,63;93698;40;1003,11
12131;28,63;93385;40;1003,11
12132;28,63;93489;40;1003,09
12133;28,62;93282;40;1003,09
12134;28,63;92972;40;1003,09
12135;28,63;93282;40;1003,09
12136;28,63;94329;40;1003,11
12137;28,63;93075;40;1003,11
12138;28,63;93907;40;1003,11
12139;28,62;93178;40;1003,11
12140;28,63;93698;40;1003,11
12141;28,63;93802;40;1003,13
12142;28,63;93698;40;1003,11
12143;28,63;94118;40;1003,07
12144;28,63;93489;40;1003,11
12145;28,63;93075;40;1003,13
12146;28,63;94012;40;1003,13
12147;28,63;93489;40;1003,11
12148;28,63;94012;40;1003,11
12149;28,62;93802;40;1003,09
12150;28,63;93698;40;1003,13
12151;28,63;93698;40;1003,13
12152;28,62;93698;40;1003,13
12153;28,63;94118;40;1003,13
12154;28,63;93178;40;1003,11
12155;28,63;93907;40;1003,09
12156;28,63;93178;40;1003,09
12157;28,63;93802;40;1003,09
12158;28,63;93802;40;1003,13
12159;28,63;92767;40;1003,13
12160;28,63;93385;40;1003,11
12161;28,63;92972;40;1003,09
12162;28,62;92972;40;1003,07
12163;28,63;93593;40;1003,11
12164;28,63;93385;40;1003,09
12165;28,63;93802;40;1003,09
12166;28,63;93489;40;1003,09
12167;28,63;93178;40;1003,09
12168;28,62;93593;40;1003,09
12169;28,63;93282;40;1003,09
12170;28,63;94118;40;1003,11
12171;28,63;93593;40;1003,11
12172;28,63;93489;40;1003,09
12173;28,63;93907;40;1003,09
12174;28,63;93489;40;1003,09
12175;28,63;93698;40;1003,09
12176;28,63;94329;40;1003,07
12177;28,62;93178;40;1003,11
12178;28,63;93385;40;1003,07
12179;28,63;94118;40;1003,11
12180;28,63;93698;40;1003,09
12181;28,62;94329;40;1003,07
12182;28,63;93593;40;1003,11
12183;28,63;93075;40;1003,09
12184;28,63;93907;40;1003,09
12185;28,62;93593;40;1003,09
12186;28,62;93282;40;1003,09
12187;28,62;93385;40;1003,09
12188;28,62;93593;40;1003,07
12189;28,62;93385;40;1003,09
12190;28,62;93489;40;1003,09
12191;28,62;93593;40;1003,09
12192;28,62;93593;40;1003,09
12193;28,62;93282;40;1003,09
12194;28,62;93178;40;1003,09
12195;28,62;94012;40;1003,11
12196;28,63;92972;40;1003,09
12197;28,63;93282;40;1003,09
12198;28,62;93282;40;1003,09
12199;28,63;94223;40;1003,09
12200;28,62;93593;40;1003,09
12201;28,62;93385;40;1003,09
12202;28,62;93385;40;1003,09
12203;28,62;93489;40;1003,09
12204;28,62;93282;40;1003,09
12205;28,62;93593;40;1003,09
12206;28,62;94861;40;1003,09
12207;28,62;93907;40;1003,09
12208;28,62;93802;40;1003,09
12209;28,62;93593;40;1003,09
12210;28,62;93907;40;1003,09
12211;28,62;93907;40;1003,09
12212;28,63;94118;40;1003,11
12213;28,63;93593;40;1003,09
12214;28,63;93698;40;1003,11
12215;28,63;94012;40;1003,09
12216;28,62;93802;40;1003,09
12217;28,62;93178;40;1003,09
12218;28,62;94329;40;1003,09
12219;28,62;93593;40;1003,09
12220;28,62;93489;40;1003,07
12221;28,63;93178;40;1003,09
12222;28,63;93593;40;1003,09
12223;28,62;93593;40;1003,11
12224;28,63;93489;40;1003,11
12225;28,62;92972;40;1003,11
12226;28,62;93593;40;1003,11
12227;28,62;93282;40;1003,09
12228;28,63;93593;40;1003,09
12229;28,62;93178;40;1003,09
12230;28,63;93178;40;1003,03
12231;28,62;93385;40;1003,07
12232;28,62;93698;40;1003,11
12233;28,63;92972;40;1003,11
12234;28,63;93593;40;1003,09
12235;28,62;93698;40;1003,09
12236;28,62;94329;40;1003,09
12237;28,62;93593;40;1003,09
12238;28,63;92665;40;1003,09
12239;28,63;92870;40;1003,07
12240;28,62;92972;40;1003,09
12241;28,62;93593;40;1003,09
12242;28,62;93385;40;1003,09
12243;28,62;94012;40;1003,09
12244;28,62;93698;40;1003,09
12245;28,62;93385;40;1003,09
12246;28,63;93075;40;1003,07
12247;28,63;93593;40;1003,09
12248;28,62;93075;40;1003,09
12249;28,62;93075;40;1003,09
12250;28,62;94012;40;1003,09
12251;28,62;94223;40;1003,09
12252;28,61;92972;40;1003,09
12253;28,62;93282;40;1003,09
12254;28,62;94118;40;1003,09
12255;28,62;94012;40;1003,09
12256;28,62;93075;40;1003,09
12257;28,62;94012;40;1003,09
12258;28,62;94118;40;1003,09
12259;28,62;93489;40;1003,11
12260;28,62;93593;40;1003,11
12261;28,62;93489;40;1003,11
12262;28,62;92972;40;1003,09
12263;28,62;92767;40;1003,09
12264;28,61;93802;40;1003,09
12265;28,62;93385;40;1003,09
12266;28,62;93907;40;1003,09
12267;28,62;93907;40;1003,09
12268;28,62;92767;40;1003,09
12269;28,62;94118;40;1003,09
12270;28,62;92972;40;1003,11
12271;28,62;93907;40;1003,09
12272;28,62;93698;40;1003,11
12273;28,62;93698;40;1003,09
12274;28,61;93282;40;1003,11
12275;28,62;93698;40;1003,09
12276;28,61;93593;40;1003,09
12277;28,61;92870;40;1003,09
12278;28,62;93282;40;1003,11
12279;28,62;93802;40;1003,09
12280;28,62;93385;40;1003,09
12281;28,62;93178;40;1003,11
12282;28,62;93802;40;1003,11
12283;28,62;93593;40;1003,09
12284;28,62;93489;40;1003,09
12285;28,62;93698;40;1003,09
12286;28,62;93802;40;1003,09
12287;28,62;92870;40;1003,09
12288;28,61;93593;40;1003,11
12289;28,62;93075;40;1003,09
12290;28,62;94118;40;1003,11
12291;28,62;93593;40;1003,09
12292;28,62;93075;40;1003,09
12293;28,62;93698;40;1003,09
12294;28,61;93075;40;1003,11
12295;28,62;93075;40;1003,09
12296;28,62;93282;40;1003,09
12297;28,62;93593;40;1003,09
12298;28,62;93178;40;1003,11
12299;28,61;92767;40;1003,11
12300;28,62;93593;40;1003,11
12301;28,62;93593;40;1003,11
12302;28,62;93698;40;1003,09
12303;28,61;93075;40;1003,11
12304;28,61;93698;40;1003,09
12305;28,62;93907;40;1003,09
12306;28,62;93075;40;1003,11
12307;28,62;92972;40;1003,11
12308;28,62;93802;40;1003,09
12309;28,62;93385;40;1003,09
12310;28,62;93593;40;1003,11
12311;28,62;93802;40;1003,11
12312;28,61;93178;40;1003,11
12313;28,62;93698;40;1003,11
12314;28,62;93075;40;1003,11
12315;28,62;93385;40;1003,09
12316;28,62;93802;40;1003,11
12317;28,62;93489;40;1003,11
12318;28,62;93593;40;1003,09
12319;28,62;94118;40;1003,11
12320;28,62;93385;40;1003,09
12321;28,62;94012;40;1003,09
12322;28,61;93075;40;1003,11
12323;28,62;92972;40;1003,11
12324;28,62;93593;40;1003,11
12325;28,62;92972;40;1003,09
12326;28,62;93907;40;1003,11
12327;28,62;94012;40;1003,09
12328;28,62;93282;40;1003,11
12329;28,62;92972;40;1003,09
12330;28,62;93489;40;1003,11
12331;28,62;93075;40;1003,09
12332;28,62;93385;40;1003,11
12333;28,62;93178;40;1003,11
12334;28,62;93075;40;1003,11
12335;28,62;93075;40;1003,11
12336;28,62;93075;40;1003,11
12337;28,61;93802;40;1003,09
12338;28,62;93385;40;1003,11
12339;28,62;93593;40;1003,11
12340;28,62;93385;40;1003,11
12341;28,62;93075;40;1003,11
12342;28,62;93802;40;1003,11
12343;28,62;93178;40;1003,11
12344;28,62;93385;40;1003,09
12345;28,62;94223;40;1003,09
12346;28,62;93907;40;1003,11
12347;28,62;93907;40;1003,09
12348;28,62;93282;40;1003,11
12349;28,62;93802;40;1003,09
12350;28,62;93489;40;1003,11
12351;28,62;94012;40;1003,11
12352;28,62;94012;40;1003,09
12353;28,62;93178;40;1003,11
12354;28,62;93698;40;1003,11
12355;28,62;93282;40;1003,11
12356;28,62;93593;40;1003,11
12357;28,62;93593;40;1003,11
12358;28,62;93282;40;1003,11
12359;28,61;93075;40;1003,11
12360;28,62;93178;40;1003,11
12361;28,62;93593;40;1003,13
12362;28,61;93489;40;1003,11
12363;28,62;93282;40;1003,11
12364;28,62;93385;40;1003,11
12365;28,62;93385;40;1003,11
12366;28,61;93385;40;1003,11
12367;28,62;93802;40;1003,11
12368;28,62;93075;40;1003,13
12369;28,61;92972;40;1003,13
12370;28,62;93075;40;1003,13
12371;28,61;93907;40;1003,13
12372;28,61;93698;40;1003,13
12373;28,61;93907;40;1003,13
12374;28,61;93802;40;1003,13
12375;28,61;93489;40;1003,13
12376;28,61;93489;40;1003,13
12377;28,61;93385;40;1003,13
12378;28,61;93385;40;1003,11
12379;28,61;93698;40;1003,13
12380;28,61;92972;40;1003,13
12381;28,61;93593;40;1003,13
12382;28,6;93593;40;1003,13
12383;28,61;93178;40;1003,13
12384;28,61;93698;40;1003,13
12385;28,61;93698;40;1003,13
12386;28,61;93593;40;1003,13
12387;28,61;92870;40;1003,11
12388;28,61;93698;40;1003,13
12389;28,61;94012;40;1003,11
12390;28,61;93385;40;1003,11
12391;28,61;93698;40;1003,13
12392;28,61;93489;40;1003,13
12393;28,6;93698;40;1003,09
12394;28,59;92870;40;1003,11
12395;28,6;93802;40;1003,11
12396;28,61;93907;40;1003,13
12397;28,61;93282;40;1003,13
12398;28,62;93385;40;1003,13
12399;28,61;93075;40;1003,13
12400;28,61;92972;40;1003,13
12401;28,61;93282;40;1003,13
12402;28,61;93282;40;1003,11
12403;28,61;93802;40;1003,13
12404;28,61;92870;40;1003,13
12405;28,61;94012;40;1003,13
12406;28,59;93075;40;1003,11
12407;28,6;93489;40;1003,09
12408;28,61;93698;40;1003,13
12409;28,61;93282;40;1003,13
12410;28,61;93489;40;1003,11
12411;28,61;94223;40;1003,13
12412;28,6;93698;40;1003,11
12413;28,6;93802;40;1003,11
12414;28,6;93178;40;1003,11
12415;28,6;93178;40;1003,11
12416;28,61;93698;40;1003,11
12417;28,61;93282;40;1003,11
12418;28,6;93385;40;1003,09
12419;28,6;93385;40;1003,11
12420;28,6;93593;40;1003,11
12421;28,6;93489;40;1003,11
12422;28,6;94118;40;1003,11
12423;28,61;93489;40;1003,15
12424;28,6;94012;40;1003,13
12425;28,6;93698;40;1003,13
12426;28,6;93489;40;1003,13
12427;28,6;93802;40;1003,13
12428;28,59;93385;40;1003,11
12429;28,6;93907;40;1003,13
12430;28,6;93282;40;1003,11
12431;28,6;93075;40;1003,11
12432;28,6;93593;40;1003,13
12433;28,6;92972;40;1003,11
12434;28,6;94118;40;1003,13
12435;28,6;93282;40;1003,13
12436;28,6;93075;40;1003,13
12437;28,59;93489;40;1003,13
12438;28,59;93593;40;1003,11
12439;28,59;93698;40;1003,13
12440;28,6;93593;40;1003,13
12441;28,6;93178;40;1003,11
12442;28,6;93698;40;1003,13
12443;28,6;94118;40;1003,13
12444;28,6;93075;40;1003,13
12445;28,6;93698;40;1003,15
12446;28,61;93698;40;1003,13
12447;28,6;92972;40;1003,13
12448;28,6;93907;40;1003,13
12449;28,6;93802;40;1003,13
12450;28,6;93802;40;1003,15
12451;28,6;94012;40;1003,13
12452;28,6;93698;40;1003,13
12453;28,6;93907;40;1003,13
12454;28,61;93385;40;1003,11
12455;28,6;92972;40;1003,13
12456;28,61;93907;40;1003,13
12457;28,6;93282;40;1003,13
12458;28,6;93698;40;1003,13
12459;28,6;93593;40;1003,15
